Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,ET_net_sentiment_score,Indian_sentiment_score,foreign_sentiment_score
08-05-2020,344,352.5,333.75,337.75,346.4499478,1558394,18566,539905520,593687,38.1,18.75,-6.25,-0.03936681,-0.025758448,-0.344035348
11-05-2020,344.9,344.9,318.15,320.1,328.4287864,3216480,47120,1056384623,1129432,35.11,26.75,-24.8,-0.211782475,-0.111426144,-0.342174541
12-05-2020,319.85,324.5,308.15,321.4,314.9322713,2139610,32025,673832237,414680,19.38,16.35,1.55,-0.211146177,-0.146212832,-0.340054326
13-05-2020,344.4,348.4,332.4,337.6,341.2103793,2881324,34372,983137655,886329,30.76,16,-6.8,-0.216428573,-0.141613306,-0.341394702
14-05-2020,331,334.4,325.75,327.45,328.6016271,1384813,16966,455051805,321321,23.2,8.65,-3.55,0.197735918,0.141782,-0.340892841
15-05-2020,329.7,330.45,318.8,322.65,321.6890498,911432,13508,293197694,184377,20.23,11.65,-7.05,0.223642854,0.146333746,-0.339079937
18-05-2020,320.9,320.9,293.5,298.65,301.1701114,2359301,40671,710550945,817359,34.64,27.4,-22.25,-0.223646891,-0.146331894,-0.344956846
19-05-2020,305.5,311.7,297.15,300.4,303.679999,1835332,29857,557353620,479765,26.14,14.55,-5.1,0.188285034,0.123198457,-0.322488965
20-05-2020,298,308.15,298,306.1,302.9384078,1383114,30589,418998353,399146,28.86,10.15,8.1,0.213001677,0.144847409,-0.336632708
21-05-2020,306.8,312.8,302.1,304.35,308.2803276,1304984,19000,402300895,351845,26.96,10.7,-2.45,0.102791576,0.141608889,-0.342202753
22-05-2020,301.35,307.5,285.7,291.2,292.932761,2544460,34605,745355693,697181,27.4,21.8,-10.15,-0.203724866,-0.146335287,-0.341861498
26-05-2020,295.4,297.8,290,292.55,293.6364652,1162197,22930,341263419,386659,33.27,7.8,-2.85,0.223182266,0.1463671,-0.342789323
27-05-2020,295.85,321.8,295.05,318.8,310.3704247,2369853,31915,735532282,632438,26.69,26.75,22.95,-0.166965121,-0.006381355,-0.302389298
28-05-2020,322.9,329.7,321,326.75,325.9078798,1827449,22104,595580029,350600,19.19,8.7,3.85,-0.214449263,-0.140318207,-0.326639534
